y,x0,x1,x2,x3,x4
7.5,A3,A1,120,11,A0
9.999,A4,A1,0,6,A1
0.35,A0,A1,54,3,A2
0.0,A2,A1,54,1,A0
5.9,A1,A1,82,7,A0
4.0,A3,A1,129,12,A0
17.5,A3,A1,88,0,A0
10.69,A1,A0,190,6,A0
20.2,A1,A0,179,3,A0
1.8,A3,A1,116,11,A0
0.8,A1,A1,90,9,A0
0.65,A4,A1,90,9,A0
11.5,A4,A1,170,6,A0
6.999,A4,A1,170,10,A0
0.55,A0,A0,0,0,A1
3.4,A7,A1,109,12,A0
1.5,A2,A1,192,0,A1
4.7,A1,A1,231,3,A2
7.999,A2,A1,126,0,A0
0.85,A0,A1,60,4,A1
4.5,A0,A1,65,8,A0
42.999,A5,A0,245,10,A0
1.95,A0,A1,60,5,A1
,A1,A1,122,2,A0
1.2,A4,A0,125,2,A0
1.85,A8,A1,101,6,A1
2.75,A1,A0,0,5,A1
1.7,A4,A1,101,6,A1
1.5,A2,A1,73,4,A1
0.23,A2,A2,0,0,A1
17.99,A5,A0,292,7,A0
6.999,A3,A1,102,3,A0
7.89,A0,A1,86,3,
3.6,A7,A1,95,8,A0
0.8,A2,A2,0,0,A2
2.4,A1,A1,150,4,A0
0.0,A1,A1,101,0,A1
1.375,A7,A0,90,5,A2
1.9,A4,A1,116,4,A0
2.2,A1,A1,238,6,A0
8.949,A4,A1,179,4,A0
0.95,A1,A1,150,10,A0
0.799,A1,A1,60,8,A0
4.5,A0,A1,69,2,A0
2.6,A0,A2,0,0,A1
3.0,A0,A1,54,1,A0
,A8,A1,116,10,A1
4.25,A1,A1,109,6,A0
0.001,A2,A1,230,0,A1
34.8,A2,A0,388,7,
10.85,A1,A0,204,8,A0
1.05,A0,A1,61,10,A0
0.95,A2,A1,110,0,A2
2.4,A4,A1,0,11,A1
,A1,A1,150,8,A0
3.48,A1,A1,75,10,A0
1.5,A4,A1,136,1,A2
1.1,A0,A1,56,0,A2
4.299,A2,A2,120,12,A1
3.5,A1,A1,158,3,A0
0.495,A4,A1,75,0,A1
3.0,A2,A2,0,3,A1
3.3,A1,A1,118,2,A0
2.5,A7,A1,7512,6,A1
13.5,A4,A0,239,10,A0
1.2,A1,A1,174,10,A0
7.7,A0,A0,86,9,A0
1.05,A4,A1,144,1,A2
0.999,A4,A0,200,10,A2
6.4,A1,A1,143,7,A1
0.9,A0,A1,75,8,A1
3.299,A1,A1,150,3,A0
9.2,A1,A1,125,11,A0
32.5,A6,A0,245,11,A0
3.5,A1,A1,50,0,A0
0.55,A0,A1,0,12,A1
11.95,A3,A1,105,8,A0
5.49,A7,A1,147,5,A0
9.5,A7,A1,136,7,A0
1.4,A1,A1,101,3,A0
0.8,A2,A1,101,3,A0
0.8,A3,A1,116,7,A0
2.5,A0,A1,86,4,A2
6.0,A4,A1,0,12,A1
9.9,A2,A0,204,10,A0
2.49,A0,A1,75,6,A0
2.3,A8,A1,150,7,A0
3.3,A1,A1,192,7,A0
16.75,A4,A0,205,3,
2.15,A4,A1,116,11,A0
0.3,A2,A1,0,0,A1
9.29,A7,A1,145,8,A0
4.4,A1,A1,120,12,A0
3.95,A0,A1,64,3,A0
12.999,A3,A1,95,6,A0
3.15,A0,A1,80,5,A0
5.5,A3,A0,140,8,A0
2.9,A1,A1,116,3,A0
1.2,A4,A1,131,10,A0
0.4,A0,A2,0,0,A1
12.99,A2,A2,122,0,A1
0.0,A1,A0,0,9,A1
5.699,A0,A1,95,6,A0
1.399,A0,A1,60,3,A0
9.5,A1,A0,179,10,A0
0.5,A0,A1,66,7,A0
10.333,A1,A1,120,6,A0
36.42,A4,A1,150,10,
6.1,A4,A1,150,3,A0
0.7,A4,A1,79,1,A2
6.75,A1,A1,190,12,A0
10.75,A1,A1,241,8,A0
8.5,A0,A1,75,11,A0
30.5,A1,A0,170,3,A0
1.6,A4,A1,75,10,
7.9,A7,A1,126,3,A0
8.7,A4,A1,140,10,A0
,A1,A0,204,6,A0
1.2,A0,A1,109,3,A2
2.5,A0,A0,50,4,A0
1.1,A4,A1,107,6,A2
0.0,A4,A1,163,0,A1
0.2,A0,A1,60,9,A2
2.5,A1,A1,60,6,A0
3.69,A7,A1,95,4,A0
4.49,A0,A1,68,10,A0
3.25,A4,A1,165,0,A0
3.318,A5,A1,101,2,A0
6.45,A2,A1,125,1,A0
8.888,A3,A1,102,5,A0
6.399,A3,A1,92,3,
4.299,A5,A1,105,0,A0
8.95,A4,A1,105,3,A1
0.7,A1,A1,90,10,A0
5.999,A0,A1,80,3,A0
0.5,A1,A1,82,6,A2
6.8,A0,A0,5,1,A0
1.5,A1,A0,155,7,A2
16.777,A1,A0,286,7,
0.55,A3,A1,90,6,A0
0.15,A1,A1,92,4,A2
1.95,A0,A1,64,1,A0
5.25,A1,A0,0,6,A0
2.499,A2,A1,116,9,A0
1.1,A4,A1,0,10,A0
1.38,A3,A1,110,4,A0
0.49,A1,A1,85,6,A1
2.65,A0,A0,105,3,A1
3.799,A7,A1,192,5,A0
0.89,A0,A1,0,1,A1
11.0,A1,A0,185,10,A0
8.0,A1,A0,349,0,A1
2.75,A4,A1,101,2,
0.0,A4,A1,101,10,A1
,A3,A1,144,3,A1
,A7,A0,140,7,A0
9.9,A1,A1,125,11,
6.99,A0,A1,95,10,A2
23.4,A3,A2,115,8,A0
6.8,A1,A0,218,1,A0
12.3,A6,A1,136,3,A0
1.5,A2,A1,0,0,A1
8.0,A1,A1,102,6,A0
15.5,A7,A0,170,4,A0
5.555,A2,A1,51,8,A0
2.9,A1,A1,130,9,A1
22.8,A1,A1,150,9,A0
26.9,A8,A1,60,7,A0
1.84,A1,A1,193,0,
1.5,A0,A1,102,11,A0
0.09,A0,A1,75,9,A0
1.95,A2,A0,0,10,A1
0.299,A0,A1,55,11,A1
0.999,A0,A1,0,1,A0
4.5,A3,A1,0,8,A1
1.65,A1,A0,125,3,A0
0.75,A2,A2,60,7,A1
1.15,A1,A1,90,10,A1
9.2,A4,A1,105,6,A0
5.8,A8,A1,106,7,A0
0.6,A0,A1,64,6,A2
2.5,A4,A2,0,0,A1
12.5,A5,A1,213,10,A0
9.8,A3,A1,174,2,
11.9,A0,A1,105,4,A0
2.35,A0,A1,0,0,A0
,A2,A2,0,0,A1
,A0,A2,61,4,A0
14.7,A6,A0,177,1,A1
1.75,A1,A2,0,12,A0
2.1,A2,A1,75,3,A0
0.575,A4,A0,150,2,A2
0.0,A3,A1,102,3,A1
0.2,A0,A1,0,12,A0
2.5,A8,A1,80,0,A1
0.65,A1,A1,101,9,A0
2.5,A0,A1,58,4,A0
3.75,A0,A1,75,10,A0
30.45,A1,A1,177,4,A0
0.666,A2,A1,75,9,A2
1.399,A0,A1,50,4,A0
9.999,A0,A1,70,3,A0
10.9,A0,A0,101,7,A0
14.5,A2,A0,190,12,A0
1.39,A0,A1,60,10,A0
2.25,A1,A1,75,3,A0
10.5,A4,A0,180,9,A0
6.7,A3,A1,116,10,A0
0.799,A1,A2,75,0,A1
0.999,A1,A1,101,8,A0
0.3,A2,A2,0,0,A1
1.8,A0,A1,50,7,A1
7.25,A3,A1,90,4,A0
18.6,A1,A1,140,6,
1.8,A4,A0,0,11,A0
8.2,A7,A0,0,7,A0
23.9,A5,A1,265,5,A0
1.999,A0,A2,50,5,A0
14.2,A4,A1,0,8,A0
4.7,A4,A1,161,12,A1
1.45,A0,A1,60,10,A0
1.499,A4,A1,95,11,A0
5.3,A3,A1,101,3,A0
5.3,A7,A0,71,9,A1
5.999,A1,A1,204,3,A0
8.85,A6,A1,120,1,A0
1.5,A5,A0,170,8,A0
4.0,A0,A1,62,0,A0
6.95,A4,A1,170,12,A0
25.89,A6,A1,190,2,A0
0.5,A2,A1,75,3,A0
1.0,A1,A1,116,8,A0
0.7,A1,A0,133,4,A0
1.15,A4,A1,101,10,A2
0.699,A0,A1,60,5,A0
2.29,A3,A1,115,7,A0
9.0,A0,A1,170,12,A0
3.3,A1,A2,0,7,A1
2.99,A4,A0,279,0,A1
9.78,A4,A1,140,9,A1
1.9,A7,A1,109,5,A0
4.5,A7,A1,110,6,A0
1.799,A4,A1,0,0,A1
6.299,A0,A1,90,11,A0
0.5,A1,A0,102,12,A2
2.7,A1,A2,0,6,A0
7.35,A0,A1,101,11,A0
49.9,A1,A0,177,8,A0
,A1,A1,102,3,A0
0.001,A2,A2,0,0,A0
9.95,A4,A0,249,3,A0
2.5,A3,A1,90,1,A0
16.5,A2,A0,0,0,
16.49,A4,A1,163,10,A0
1.1,A0,A1,0,3,A0
8.95,A1,A1,143,5,A0
0.9,A0,A1,133,1,A2
2.849,A0,A1,75,10,A0
13.7,A3,A1,180,12,A0
11.1,A1,A1,143,1,A0
2.89,A0,A1,97,6,A0
10.99,A5,A1,200,2,A0
5.5,A3,A1,105,4,A0
3.999,A3,A1,143,12,A0
,A1,A0,193,3,A0
10.85,A5,A1,160,6,
0.6,A0,A1,75,4,A0
0.9,A1,A1,0,4,A0
3.0,A1,A0,135,5,A0
3.1,A1,A2,0,11,A0
9.3,A1,A1,170,6,A0
0.35,A1,A1,75,11,A0
0.9,A4,A1,75,6,A0
1.7,A1,A1,100,8,A0
1.99,A0,A1,64,1,
1.1,A0,A1,75,7,A1
0.99,A3,A1,91,2,A2
4.699,A0,A1,60,12,A0
9.85,A3,A0,136,10,A0
8.75,A1,A1,105,10,A0
0.85,A1,A2,75,11,A1
0.7,A0,A1,56,10,A1
16.9,A1,A1,190,3,A0
11.0,A4,A1,192,1,A0
1.099,A4,A0,125,5,A0
2.15,A2,A2,60,2,A1
9.25,A0,A1,60,3,A0
0.95,A2,A1,0,5,A1
8.399,A1,A1,110,12,A0
0.0,A4,A2,90,11,A2
9.45,A0,A1,69,0,A1
1.8,A0,A1,60,6,A0
6.0,A0,A2,61,1,
3.799,A0,A1,90,12,A0
4.499,A4,A1,179,3,A0
3.6,A3,A1,116,12,A0
0.5,A5,A1,110,1,A1
1.65,A1,A1,193,0,A1
89.0,A1,A0,751,10,A0
3.9,A4,A1,131,6,A0
17.699,A4,A1,239,2,A0
0.25,A1,A1,107,2,A2
2.799,A1,A1,140,9,A2
5.999,A1,A0,279,8,A0
1.25,A2,A1,70,4,A0
21.95,A1,A0,211,2,A0
4.2,A3,A1,101,9,A0
4.99,A4,A1,131,8,A0
0.38,A1,A1,0,5,A0
18.99,A1,A1,150,3,A0
11.0,A3,A1,77,6,
2.6,A1,A1,131,6,A0
1.2,A3,A1,115,9,A0
,A1,A1,101,7,A0
0.15,A0,A0,60,5,A2
20.5,A1,A0,122,3,A0
47.0,A1,A0,400,10,A0
23.9,A6,A0,224,12,A0
18.9,A4,A1,105,2,A0
13.99,A4,A1,102,1,A0
0.999,A1,A1,90,12,A2
2.5,A1,A1,165,1,A0
0.38,A2,A1,54,11,A0
2.69,A1,A1,116,3,A0
1.25,A1,A1,101,12,A0
2.5,A2,A1,75,0,A0
0.15,A0,A1,75,0,A2
8.75,A1,A1,82,3,A0
3.5,A1,A1,136,2,A0
13.8,A7,A0,252,3,A0
8.85,A4,A1,150,6,A0
4.6,A0,A1,55,10,A0
0.1,A2,A2,0,0,A1
15.5,A3,A0,258,6,A0
17.1,A4,A1,170,2,
5.8,A1,A1,129,3,A1
6.7,A4,A1,179,6,A0
3.5,A0,A1,54,3,A0
0.1,A2,A2,0,0,A1
9.999,A1,A1,260,6,A0
9.3,A4,A1,163,4,A0
0.25,A0,A1,60,10,A0
0.399,A4,A1,0,7,A2
6.9,A0,A1,163,11,A0
0.001,A0,A1,40,3,A2
0.32,A0,A1,0,3,A1
8.49,A4,A1,175,10,A0
3.1,A4,A1,90,5,
2.0,A1,A1,136,11,A0
6.299,A3,A0,170,10,A0
1.05,A2,A1,170,7,A0
8.45,A5,A1,231,3,A0
0.249,A0,A1,54,9,A0
19.999,A3,A1,150,0,A0
3.0,A4,A1,80,5,
5.6,A0,A1,116,4,A0
0.0,A5,A1,160,10,A0
0.99,A0,A1,60,3,A0
2.4,A3,A1,140,7,A0
0.45,A2,A2,82,0,A1
15.0,A1,A1,163,4,A0
0.55,A0,A1,0,0,A1
1.0,A0,A1,54,3,A0
0.799,A4,A1,0,5,A1
1.3,A2,A0,100,11,A1
0.195,A4,A1,100,12,A1
5.7,A4,A1,109,4,A0
,A1,A1,150,1,A0
,A0,A1,75,12,A0
2.7,A7,A1,107,2,A0
1.3,A0,A1,80,6,A1
1.999,A4,A1,113,5,A0
3.65,A1,A1,131,10,A0
3.5,A3,A1,120,3,A0
0.8,A1,A1,75,11,A0
2.65,A4,A1,110,1,A0
9.8,A4,A1,140,11,A0
9.3,A3,A1,102,5,A0
1.85,A4,A1,144,9,A0
2.0,A0,A1,75,9,A0
15.95,A7,A1,163,8,A0
9.999,A2,A1,200,12,A1
1.999,A3,A1,116,6,A0
9.499,A0,A1,60,1,A0
4.99,A0,A1,99,11,A0
3.299,A3,A1,102,10,A1
0.549,A5,A1,140,3,A2
1.622,A2,A1,136,10,A0
3.05,A2,A1,34,6,A0
1.1,A1,A1,122,11,A0
2.5,A0,A1,75,9,A0
2.25,A2,A1,75,11,A0
4.85,A0,A1,80,6,A0
1.45,A0,A1,75,4,A0
1.0,A0,A1,0,0,A1
0.15,A1,A1,115,6,A2
0.2,A1,A1,0,3,A1
25.85,A4,A0,525,10,A0
3.35,A7,A1,90,3,A0
3.3,A0,A1,68,2,A0
3.45,A1,A1,105,7,A0
1.999,A1,A1,60,6,A0
2.0,A3,A1,64,10,A0
1.1,A1,A1,75,11,A0
6.49,A0,A1,60,12,A0
1.25,A3,A1,90,2,A1
,A4,A0,143,9,A0
12.699,A1,A0,177,1,A0
1.9,A1,A0,0,11,A1
2.99,A1,A1,192,12,A0
0.8,A1,A1,0,11,A1
0.6,A0,A1,82,7,A1
31.8,A6,A0,177,8,A0
4.3,A2,A1,131,3,A0
2.9,A1,A1,150,4,A0
9.5,A3,A0,150,5,A0
10.2,A7,A0,344,2,A0
26.75,A6,A0,190,7,A0
13.99,A1,A1,80,4,A0
13.5,A1,A0,250,12,A0
1.85,A2,A1,80,0,A2
9.499,A7,A1,163,3,A0
10.398,A1,A1,105,8,A0
7.49,A4,A0,131,2,A0
4.45,A7,A2,200,7,A1
0.95,A1,A1,75,7,A0
14.999,A0,A0,111,10,A0
1.8,A1,A1,101,6,A1
8.1,A1,A0,231,4,
8.45,A4,A0,136,5,A0
4.0,A1,A0,143,2,A0
23.6,A5,A0,190,3,A0
7.5,A1,A1,224,10,A0
4.2,A0,A1,133,2,A0
6.5,A3,A1,131,4,A0
1.95,A0,A1,75,12,A0
5.299,A1,A0,122,1,A0
1.85,A1,A1,0,5,A1
9.99,A3,A1,105,4,A0
,A1,A1,101,0,A0
8.4,A3,A1,160,10,A0
10.5,A2,A1,122,0,A0
3.5,A1,A1,163,4,A0
3.2,A4,A0,163,2,A0
14.9,A3,A1,131,5,A0
0.4,A1,A1,45,0,A1
7.5,A1,A0,286,4,A0
7.5,A7,A1,150,6,A0
21.5,A1,A0,320,2,A0
9.999,A1,A1,125,6,A0
1.45,A4,A1,116,3,A0
2.365,A1,A1,150,3,A1
20.68,A4,A1,170,7,A0
0.4,A4,A1,122,4,A1
5.0,A7,A1,200,8,A0
4.399,A2,A1,125,7,A0
3.5,A1,A1,120,0,A1
0.75,A3,A1,103,1,A0
1.3,A4,A1,0,10,A0
0.999,A4,A1,101,9,
38.5,A7,A0,184,11,A0
6.8,A3,A0,140,2,A0
12.5,A2,A1,174,9,A1
0.8,A2,A1,75,8,A0
2.5,A3,A0,110,5,A1
13.9,A1,A0,218,6,A0
7.4,A1,A0,129,6,A0
2.95,A5,A1,41,10,A0
0.0,A2,A2,0,0,A1
1.5,A1,A1,116,9,A0
1.25,A4,A1,101,12,A0
3.199,A3,A1,88,5,A0
2.85,A1,A1,75,2,A0
0.8,A0,A1,90,1,A0
3.6,A0,A1,77,4,A0
1.8,A4,A0,177,3,A0
3.9,A3,A1,75,4,A0
0.7,A1,A1,75,8,A0
6.38,A3,A1,150,4,A0
0.395,A3,A2,65,9,A0
0.58,A4,A1,136,3,A2
6.7,A0,A1,60,10,A0
6.5,A3,A1,140,6,A0
0.45,A2,A2,0,0,A1
4.199,A1,A0,143,8,A2
1.0,A1,A1,122,11,A1
3.999,A1,A1,82,2,A0
2.35,A1,A1,90,4,A0
1.9,A1,A0,136,9,A2
14.0,A1,A0,195,10,A0
0.8,A0,A1,60,5,A0
0.0,A2,A2,0,0,A1
1.25,A1,A1,125,2,
2.5,A4,A1,133,12,A0
4.99,A7,A1,109,4,A0
10.5,A1,A0,136,10,A0
1.39,A2,A0,45,4,A1
2.3,A1,A1,136,11,A0
2.375,A0,A1,63,12,A0
4.9,A3,A1,102,12,A0
3.95,A4,A1,102,9,A0
2.2,A2,A1,101,0,A0
2.8,A1,A1,109,4,A0
3.8,A1,A0,102,0,A0
0.85,A1,A1,150,6,A0
2.85,A0,A1,60,12,A0
4.15,A2,A1,54,5,A0
12.6,A6,A1,86,11,
7.9,A1,A1,122,12,A0
2.5,A4,A1,55,0,A2
7.9,A3,A1,110,9,A0
2.5,A1,A1,116,7,A0
8.77,A3,A1,136,9,A0
1.75,A1,A1,75,4,A0
17.25,A1,A1,218,3,A0
4.5,A2,A2,0,0,A1
11.25,A4,A0,140,12,A0
4.79,A4,A0,170,1,A0
7.499,A4,A0,122,7,A0
30.0,A3,A0,180,1,A1
19.5,A7,A1,170,7,A0
5.75,A3,A1,82,10,A0
5.999,A0,A1,75,0,A0
1.4,A0,A1,50,6,A0
9.5,A1,A0,264,6,A0
2.99,A0,A1,54,6,A0
0.666,A4,A1,101,0,A1
1.49,A2,A1,58,9,
1.8,A1,A1,150,5,A2
0.5,A0,A0,59,2,A2
0.3,A0,A1,0,10,A0
0.75,A0,A1,65,0,A1
5.0,A3,A1,105,10,A0
0.72,A1,A1,69,10,A0
2.5,A7,A1,116,6,A0
1.599,A0,A1,105,9,A0
2.95,A3,A0,147,4,A0
0.99,A0,A1,0,2,A0
1.05,A0,A1,60,1,A0
0.35,A1,A0,75,5,A2
0.2,A0,A1,53,3,A0
1.75,A5,A2,0,6,A1
3.65,A1,A1,64,5,A1
0.7,A4,A1,60,6,A2
35.98,A7,A0,387,1,
2.45,A1,A0,299,1,A0
6.2,A1,A0,204,10,A0
1.0,A2,A1,150,5,A1
0.399,A4,A0,133,6,A2
0.5,A2,A1,90,0,A1
1.3,A0,A2,50,8,A0
2.9,A0,A1,64,2,A0
9.999,A1,A1,125,5,A0
1.5,A1,A1,170,6,A0
0.8,A1,A1,116,3,A2
0.95,A1,A1,0,6,A1
3.8,A6,A1,0,12,A0
9.99,A4,A0,177,7,A0
7.499,A2,A0,0,0,A1
0.45,A0,A1,50,10,A2
0.99,A0,A1,0,8,A1
0.35,A0,A1,57,0,A2
0.15,A4,A1,105,0,A2
2.75,A0,A1,75,2,
1.85,A1,A1,75,8,A0
1.7,A2,A2,0,0,A1
18.9,A5,A1,140,1,A0
4.98,A7,A1,112,6,A0
3.85,A3,A1,101,8,A0
1.15,A0,A1,44,10,A0
0.5,A1,A1,0,8,A0
9.0,A4,A1,170,8,A0
13.45,A1,A0,177,10,A0
11.5,A0,A0,122,1,A0
,A0,A1,101,3,A0
16.999,A4,A0,184,10,A0
0.0,A4,A1,115,6,A2
0.111,A2,A2,100,0,A1
1.5,A0,A1,50,2,A0
0.0,A5,A1,125,12,A2
7.9,A4,A1,140,6,A0
1.2,A0,A1,50,1,A0
0.999,A2,A1,0,0,A0
1.45,A0,A1,37,9,A0
7.9,A0,A1,86,8,A0
6.2,A1,A1,80,10,A0
2.75,A1,A0,170,11,A0
0.999,A2,A1,101,0,A1
3.59,A1,A1,90,5,A0
5.699,A0,A0,71,4,A0
0.85,A4,A1,105,11,
1.95,A2,A1,116,6,A0
6.25,A0,A1,75,8,A0
2.2,A5,A0,50,5,A0
,A2,A2,0,0,A1
3.499,A7,A1,155,1,A0
10.7,A4,A1,163,2,A0
2.75,A4,A1,101,10,A0
31.9,A6,A0,170,5,A0
9.95,A1,A1,90,4,A0
1.799,A4,A0,0,4,A1
1.999,A1,A1,101,9,A0
2.499,A1,A0,143,8,A0
7.94,A4,A1,177,2,A0
0.6,A4,A1,144,0,A2
3.9,A2,A0,143,0,A0
0.0,A2,A1,0,6,A1
1.0,A1,A1,75,3,A0
4.999,A2,A2,0,6,A1
12.99,A3,A1,150,3,A0
6.9,A0,A1,125,10,A0
11.1,A2,A1,105,0,A0
1.2,A2,A0,122,7,A0
3.999,A2,A1,164,9,A0
1.75,A0,A1,60,5,A0
0.7,A4,A1,75,10,
12.345,A1,A1,0,0,A1
28.999,A7,A0,333,9,A0
5.29,A4,A1,170,1,A0
6.5,A4,A1,131,1,A0
7.99,A3,A1,109,7,A0
36.499,A3,A0,224,9,A0
0.6,A1,A1,60,12,A0
2.5,A6,A1,124,0,A1
10.222,A0,A1,95,2,A0
2.9,A3,unknown,68,5,A1
6.5,A4,A1,140,9,A0
6.49,A1,A1,150,5,A0
0.55,A1,A0,102,6,A2
0.159,A2,A1,60,2,A1
14.999,A1,A2,170,6,A1
4.999,A1,A0,102,5,A0
3.05,A1,A0,90,11,A0
16.45,A1,A0,235,2,A0
2.45,A1,A1,97,10,A0
8.0,A1,A1,170,6,A0
0.65,A4,A1,122,3,A0
6.7,A3,A1,116,3,A0
21.5,A4,A0,140,6,A0
8.7,A6,A1,136,11,A0
8.6,A3,A0,170,1,A0
32.9,A6,A0,296,3,A0
1.3,A0,A1,75,8,A0
15.2,A1,A1,143,11,A0
15.5,A6,A0,184,2,A0
1.45,A1,A1,101,6,A0
3.5,A6,A1,128,4,A1
0.6,A5,A1,123,0,A2
4.9,A5,A1,109,11,A0
3.4,A1,A1,143,12,A0
6.999,A4,A1,193,2,A0
9.899,A4,A1,231,10,A0
1.299,A0,A1,60,2,A0
4.25,A0,A1,131,12,A0
1.49,A0,A2,0,10,A1
2.7,A4,A0,0,0,A1
4.0,A0,A1,60,11,A0
22.8,A4,A1,177,9,A0
1.0,A0,A1,50,1,A0
10.499,A0,A1,105,10,A0
17.0,A4,A0,272,9,A0
4.9,A1,A1,177,1,A0
3.8,A3,A1,0,12,A1
0.599,A4,A1,60,11,A1
2.75,A2,A1,0,4,A1
4.25,A5,A1,170,6,
1.65,A0,A1,0,3,A0
,A3,A1,150,8,A0
10.0,A4,A1,140,6,A0
3.555,A2,A1,101,4,A1
2.6,A0,A1,75,4,A0
0.95,A4,A0,90,6,A2
2.0,A2,A1,116,7,A1
,A0,A1,75,0,A0
2.2,A0,A0,54,0,A1
0.75,A1,A1,90,7,A0
3.3,A3,A1,126,8,A2
1.1,A0,A1,63,0,A1
3.8,A4,A1,155,4,A0
1.0,A1,A1,110,0,A1
29.2,A4,A1,150,5,A0
1.3,A0,A1,174,2,A1
2.499,A1,A1,165,9,A0
1.85,A4,A1,131,2,A2
14.95,A4,A0,170,9,A0
0.65,A2,A1,74,5,A1
1.6,A3,A1,101,4,A0
0.4,A0,A1,60,7,A0
0.999,A1,A1,193,8,A2
6.75,A0,A1,95,8,A0
9.6,A4,A1,180,10,A2
7.8,A1,A0,204,6,A0
0.5,A2,A2,0,0,A1
3.5,A1,A1,163,9,A2
4.399,A4,A1,192,10,A0
1.35,A4,A1,110,8,A0
,A2,A1,95,1,A1
0.75,A1,A1,75,5,A0
19.499,A1,A1,0,3,A0
3.45,A2,A1,101,9,A1
0.99,A0,A1,60,3,A0
2.399,A3,A1,135,6,A0
0.45,A0,A1,60,4,A1
10.0,A4,A0,140,5,A0
0.25,A0,A1,45,5,A0
0.699,A1,A1,75,10,A1
0.0,A4,A2,170,2,A1
1.85,A1,A1,86,10,A0
0.05,A0,A1,60,4,A2
2.345,A1,A1,102,11,A0
7.15,A6,A0,184,3,A0
13.99,A4,A1,143,7,A0
7.2,A4,A0,272,6,A0
1.5,A2,A1,90,6,A1
3.89,A0,A2,0,11,A0
4.2,A2,A1,0,0,A1
10.99,A0,A1,174,6,A0
1.4,A0,A1,76,4,A0
3.4,A0,A2,0,8,A1
21.99,A4,A1,150,3,A0
3.0,A0,A2,0,0,A1
5.5,A3,A1,140,12,
5.9,A7,A1,140,8,A0
4.9,A7,A1,177,5,A0
2.5,A0,A1,0,6,A1
14.4,A5,A1,170,9,A0
0.0,A2,A1,50,2,A1
15.0,A3,A1,105,7,A0
9.5,A0,A1,98,10,A0
0.6,A0,A1,45,5,A1
2.0,A2,A1,211,10,A1
2.5,A4,A1,97,6,A0
3.45,A3,A1,125,7,A0
10.25,A1,A0,224,3,A0
0.95,A4,A1,72,11,A0
3.999,A1,A1,105,4,A0
3.888,A3,A1,116,7,A0
17.499,A4,A0,200,9,A0
24.0,A1,A1,271,6,A0
0.7,A2,A1,70,10,A2
2.5,A5,A1,170,6,A0
4.179,A4,A1,101,3,
2.999,A1,A1,125,5,A0
1.25,A0,A1,90,7,A0
1.999,A4,A1,116,3,A0
8.9,A1,A1,260,1,A0
5.999,A1,A1,115,6,A0
3.1,A1,A1,109,9,A0
0.999,A0,A1,75,4,A0
1.199,A4,A1,101,3,A0
0.0,A5,A1,0,0,A1
13.8,A4,A0,143,5,A0
26.5,A1,A0,160,7,A0
4.9,A6,A0,220,10,A2
11.99,A4,A1,160,9,A0
4.0,A0,A0,69,7,A0
1.2,A2,A2,45,8,A1
18.0,A1,A2,0,12,A0
9.6,A6,A2,0,0,A1
0.001,A2,A1,60,0,A1
0.6,A2,A2,0,0,A0
13.25,A4,A1,160,8,A0
5.0,A2,A1,289,0,A1
,A0,A1,55,12,A0
0.45,A0,A1,75,6,A2
4.0,A4,A1,129,4,A1
0.95,A6,A1,69,11,A0
0.649,A0,A1,108,9,A1
2.9,A1,A0,131,5,A0
4.39,A0,A1,86,1,A0
7.6,A1,A1,122,12,A0
19.95,A4,A1,150,8,A0
12.5,A1,A1,141,7,A0
27.3,A1,A0,245,8,A0
3.3,A1,A1,143,6,A0
1.5,A4,A1,170,8,A0
0.6,A0,A1,50,12,A2
11.99,A1,A0,179,12,A0
2.75,A1,A1,109,8,A2
7.0,A4,A1,200,3,A0
0.35,A2,A1,95,12,A2
2.8,A7,A1,116,7,A0
8.9,A4,A1,170,9,A0
3.95,A1,A0,170,0,A0
3.59,A1,A1,125,5,A0
13.0,A4,A1,120,12,A0
0.699,A0,A1,50,1,A2
,A1,A1,75,7,A0
24.0,A4,A0,184,8,A0
1.6,A3,A1,101,4,A0
0.849,A0,A1,60,4,A0
13.999,A1,A1,105,4,A0
4.99,A0,A1,69,9,A0
17.5,A7,A1,40,5,
0.899,A2,A1,75,6,A0
11.1,A3,A1,100,6,A2
15.6,A4,A1,136,6,A0
4.999,A3,A1,88,7,A0
0.79,A0,A1,75,12,A2
3.35,A4,A1,136,11,A0
2.45,A1,A0,165,8,A1
5.85,A3,A1,102,12,A0
0.2,A0,A1,55,7,A2
3.7,A4,A1,116,6,A0
7.7,A1,A1,163,10,A0
18.999,A1,A1,177,12,A0
1.35,A0,A1,75,6,A0
0.65,A4,A1,115,9,A0
1.5,A5,A1,136,5,A2
1.39,A5,A1,102,12,A0
1.4,A1,A1,136,3,A0
7.5,A4,A0,177,8,A0
4.5,A4,A1,98,4,A0
1.2,A5,A1,193,6,A0
1.1,A0,A1,0,5,A0
5.7,A1,A0,0,7,A0
2.6,A0,A0,61,2,A0
0.6,A0,A1,55,2,A1
2.555,A1,A1,170,6,A0
12.0,A5,A1,192,5,A0
7.75,A1,A1,0,7,A0
8.5,A1,A1,110,9,A0
2.5,A0,A1,60,3,A1
0.013,A2,A2,0,0,A1
2.8,A3,A0,158,9,A0
3.3,A1,A1,75,11,A0
0.599,A0,A1,0,0,A2
1.9,A7,A1,0,0,A1
1.5,A4,A1,136,1,A0
3.5,A1,A1,150,3,A0
